wwtp,samp_date,field_pt_name,parameter,mean_value
El Estero Water Resource Center NPDES,2021-09-22,influent,NETFOSAA,3.9499999999999997
El Estero Water Resource Center NPDES,2021-09-22,influent,NMEFOSAA,3.4000000000000004
El Estero Water Resource Center NPDES,2021-09-22,influent,PFBA,7.319999999999999
El Estero Water Resource Center NPDES,2021-09-22,influent,PFBS,2.86
El Estero Water Resource Center NPDES,2021-09-22,influent,PFDA,3.1
El Estero Water Resource Center NPDES,2021-09-22,influent,PFDS,3.216666666666667
El Estero Water Resource Center NPDES,2021-09-22,influent,PFHpA,2.3
El Estero Water Resource Center NPDES,2021-09-22,influent,PFHxA,9.35
El Estero Water Resource Center NPDES,2021-09-22,influent,PFHxS,10.24
El Estero Water Resource Center NPDES,2021-09-22,influent,PFOA,6.1
El Estero Water Resource Center NPDES,2021-09-22,influent,PFOS,11.1
El Estero Water Resource Center NPDES,2021-09-22,influent,PFPA,6.2
Encina Wastewater Authority,2020-12-29,effluent,6:2FTS,8.7
Encina Wastewater Authority,2020-12-29,effluent,PFBA,17
Encina Wastewater Authority,2020-12-29,effluent,PFBS,4.1
Encina Wastewater Authority,2020-12-29,effluent,PFDA,1
Encina Wastewater Authority,2020-12-29,effluent,PFHpA,8.3
Encina Wastewater Authority,2020-12-29,effluent,PFHxA,20
Encina Wastewater Authority,2020-12-29,effluent,PFHxS,2.2
Encina Wastewater Authority,2020-12-29,effluent,PFNA,1.3
Encina Wastewater Authority,2020-12-29,effluent,PFOA,9.1
Encina Wastewater Authority,2020-12-29,effluent,PFOS,3.3
Encina Wastewater Authority,2020-12-29,effluent,PFPA,18
Encina Wastewater Authority,2020-12-29,influent,6:2FTS,1.1
Encina Wastewater Authority,2020-12-29,influent,PFBA,19
Encina Wastewater Authority,2020-12-29,influent,PFBS,9.8
Encina Wastewater Authority,2020-12-29,influent,PFDA,2
Encina Wastewater Authority,2020-12-29,influent,PFHpA,8.9
Encina Wastewater Authority,2020-12-29,influent,PFHxA,22
Encina Wastewater Authority,2020-12-29,influent,PFHxS,4.7
Encina Wastewater Authority,2020-12-29,influent,PFNA,2.3
Encina Wastewater Authority,2020-12-29,influent,PFOA,12
Encina Wastewater Authority,2020-12-29,influent,PFOS,5.2
Encina Wastewater Authority,2020-12-29,influent,PFPA,26
Encina Wastewater Authority,2021-02-09,effluent,6:2FTS,1.4
Encina Wastewater Authority,2021-02-09,effluent,NMEFOSAA,2.8
Encina Wastewater Authority,2021-02-09,effluent,PFBA,15
Encina Wastewater Authority,2021-02-09,effluent,PFBS,4.4
Encina Wastewater Authority,2021-02-09,effluent,PFHxA,16
Encina Wastewater Authority,2021-02-09,effluent,PFHxS,2.9
Encina Wastewater Authority,2021-02-09,effluent,PFOA,12
Encina Wastewater Authority,2021-02-09,effluent,PFOS,5
Encina Wastewater Authority,2021-02-09,effluent,PFPA,6.3
Encina Wastewater Authority,2021-02-09,influent,MEFOSE,3.5
Encina Wastewater Authority,2021-02-09,influent,PFBA,13
Encina Wastewater Authority,2021-02-09,influent,PFBS,5.4
